Date;Open;High;Low;Close;Volume
2019.06.05;7212.30;7214.20;7206.20;7211.90;1276
2019.06.05;7212.20;7223.70;7209.30;7223.60;1437
2019.06.05;7223.70;7235.90;7215.40;7232.70;1260
2019.06.05;7234.70;7235.60;7200.40;7200.60;2888
2019.06.05;7200.40;7206.70;7181.90;7204.70;2627
2019.06.05;7205.80;7217.20;7181.40;7183.90;2901
2019.06.05;7184.10;7188.20;7167.70;7170.40;2821
2019.06.05;7169.80;7177.30;7154.60;7166.90;2624
2019.06.05;7166.40;7167.20;7144.90;7161.90;2669
2019.06.05;7162.20;7182.40;7155.40;7179.20;2490
2019.06.05;7178.90;7201.40;7174.90;7200.60;2453
2019.06.05;7200.40;7206.80;7192.90;7196.20;2331
2019.06.05;7195.70;7205.70;7188.10;7204.90;2401
2019.06.05;7204.80;7210.80;7183.20;7184.20;2276
2019.06.05;7184.60;7199.20;7179.20;7197.80;2076
2019.06.05;7197.60;7197.60;7180.80;7194.30;1986
2019.06.05;7194.80;7201.70;7189.20;7189.80;1892
2019.06.05;7189.70;7213.70;7189.40;7207.70;1831
2019.06.05;7207.90;7211.80;7200.90;7207.70;1713
2019.06.05;7207.90;7210.90;7201.70;7208.90;1714
2019.06.05;7208.80;7210.80;7196.90;7205.10;1612
2019.06.05;7204.80;7214.10;7198.70;7207.90;1835
2019.06.05;7208.30;7208.40;7201.20;7205.90;1737
2019.06.05;7205.80;7212.10;7205.20;7206.80;1474
2019.06.05;7206.70;7209.60;7193.60;7200.60;1492
2019.06.05;7200.30;7204.70;7195.30;7202.40;1504
2019.06.05;7202.30;7211.40;7198.80;7206.10;1529
2019.06.05;7206.20;7206.80;7188.90;7204.90;2115
2019.06.05;7204.80;7224.20;7204.60;7220.40;1994
2019.06.05;7219.90;7225.90;7216.60;7223.40;957
2019.06.05;7223.30;7228.40;7221.40;7227.60;237
2019.06.05;7227.80;7228.80;7224.20;7225.70;254
2019.06.06;7192.30;7204.00;7188.50;7193.00;744
2019.06.06;7193.10;7194.00;7186.00;7186.00;412
2019.06.06;7185.90;7193.00;7174.40;7189.60;683
2019.06.06;7190.00;7196.80;7189.60;7194.90;461
2019.06.06;7194.80;7196.50;7189.80;7194.80;296
2019.06.06;7194.60;7197.80;7193.30;7195.60;244
2019.06.06;7195.80;7210.40;7195.80;7208.50;424
2019.06.06;7208.40;7209.10;7200.90;7206.40;538
2019.06.06;7206.50;7220.60;7205.90;7216.80;979
2019.06.06;7216.60;7222.00;7215.40;7221.50;551
2019.06.06;7221.30;7225.90;7219.60;7221.50;458
2019.06.06;7221.40;7224.00;7216.00;7217.30;543
2019.06.06;7216.80;7219.60;7214.00;7216.60;505
2019.06.06;7216.90;7225.10;7216.90;7221.40;585
2019.06.06;7221.50;7222.60;7214.30;7217.30;921
2019.06.06;7217.00;7221.10;7214.60;7218.50;759
2019.06.06;7218.80;7230.50;7216.80;7228.50;719
2019.06.06;7228.80;7231.90;7224.30;7224.50;552
2019.06.06;7224.90;7231.10;7224.30;7229.00;517
2019.06.06;7228.80;7229.50;7226.40;7227.60;422
2019.06.06;7227.40;7229.60;7226.40;7227.40;393
2019.06.06;7227.80;7228.90;7225.80;7226.90;325
2019.06.06;7227.00;7227.00;7222.80;7222.80;284
2019.06.06;7222.60;7226.00;7222.40;7224.60;168
2019.06.06;7224.50;7224.50;7220.30;7220.30;214
2019.06.06;7220.40;7222.60;7220.00;7221.90;211
2019.06.06;7222.00;7224.50;7220.50;7224.10;167
2019.06.06;7224.00;7226.40;7223.60;7225.00;205
2019.06.06;7224.80;7225.10;7220.80;7221.10;309
2019.06.06;7221.30;7221.30;7217.90;7219.40;392
2019.06.06;7219.10;7220.30;7214.00;7214.30;385
2019.06.06;7214.40;7214.40;7204.10;7206.50;493
2019.06.06;7206.80;7209.90;7203.90;7207.80;778
2019.06.06;7207.90;7210.90;7206.50;7208.80;579
2019.06.06;7208.60;7213.60;7202.80;7212.80;871
2019.06.06;7212.60;7219.50;7211.40;7216.90;859
2019.06.06;7217.00;7225.90;7214.90;7224.90;1460
2019.06.06;7225.00;7237.10;7222.40;7235.40;1369
2019.06.06;7235.50;7250.40;7235.00;7238.90;1408
2019.06.06;7239.00;7250.80;7238.60;7244.60;1165
2019.06.06;7244.40;7250.50;7241.00;7244.80;1138
2019.06.06;7244.90;7248.30;7241.40;7245.90;864
2019.06.06;7245.80;7249.80;7244.10;7244.60;773
2019.06.06;7244.80;7248.80;7242.80;7247.50;754
2019.06.06;7247.30;7248.60;7242.10;7244.50;842
2019.06.06;7244.60;7252.30;7244.30;7250.60;851
2019.06.06;7250.80;7257.40;7248.00;7252.10;1007
2019.06.06;7252.00;7252.00;7245.40;7248.40;785
2019.06.06;7248.60;7249.90;7245.30;7246.80;581
2019.06.06;7246.60;7254.00;7246.60;7250.90;726
2019.06.06;7251.00;7254.00;7248.10;7251.40;679
2019.06.06;7251.50;7251.90;7246.90;7247.50;494
2019.06.06;7247.90;7249.40;7244.40;7248.40;518
2019.06.06;7248.10;7253.40;7247.90;7250.10;679
2019.06.06;7250.30;7251.10;7246.00;7250.10;484
2019.06.06;7250.30;7251.90;7236.80;7250.00;1610
2019.06.06;7250.10;7250.10;7238.10;7239.50;1003
2019.06.06;7239.60;7245.80;7238.00;7242.50;676
2019.06.06;7242.90;7247.50;7228.30;7228.80;1406
2019.06.06;7227.90;7231.10;7216.10;7220.10;2151
2019.06.06;7220.40;7229.90;7218.40;7228.80;1515
2019.06.06;7228.50;7231.60;7224.90;7228.50;975
2019.06.06;7230.10;7240.90;7213.30;7221.60;2801
2019.06.06;7221.40;7226.80;7204.40;7205.60;2735
2019.06.06;7204.90;7219.90;7204.60;7213.60;2540
2019.06.06;7213.80;7218.60;7202.60;7203.60;2480
2019.06.06;7204.00;7231.90;7198.50;7226.00;2359
2019.06.06;7226.10;7231.90;7219.40;7220.40;2346
2019.06.06;7219.60;7234.00;7215.50;7231.10;2366
2019.06.06;7230.90;7242.60;7228.90;7241.60;2277
2019.06.06;7242.00;7247.30;7231.60;7231.90;1824
2019.06.06;7231.80;7240.80;7219.80;7225.60;2489
2019.06.06;7225.50;7231.60;7220.90;7223.90;2043
2019.06.06;7223.80;7231.90;7222.30;7226.50;1754
2019.06.06;7226.40;7232.40;7224.60;7229.60;1314
2019.06.06;7229.90;7241.60;7229.10;7234.80;1262
2019.06.06;7234.60;7239.00;7227.50;7234.80;1315
2019.06.06;7234.60;7236.60;7224.40;7230.10;1239
2019.06.06;7230.00;7236.00;7229.50;7235.50;1031
2019.06.06;7235.60;7239.00;7233.90;7237.10;916
2019.06.06;7237.30;7242.40;7230.10;7240.00;1196
2019.06.06;7239.90;7241.10;7234.00;7236.30;1176
2019.06.06;7236.10;7267.10;7234.60;7265.30;2227
2019.06.06;7265.10;7268.90;7250.60;7253.90;2070
2019.06.06;7253.80;7263.60;7251.80;7262.10;1849
2019.06.06;7262.60;7279.30;7261.10;7277.10;1811
2019.06.06;7277.00;7293.80;7274.10;7279.30;2222
2019.06.06;7279.10;7287.40;7268.30;7276.40;2203
2019.06.06;7277.10;7278.10;7268.40;7276.60;1202
2019.06.06;7276.40;7276.90;7254.50;7255.30;643
2019.06.06;7255.40;7259.90;7250.80;7258.00;434
2019.06.07;7256.50;7264.00;7253.30;7259.00;337
2019.06.07;7259.10;7261.80;7256.20;7257.00;196
2019.06.07;7256.70;7260.60;7252.70;7258.10;238
2019.06.07;7258.20;7259.80;7254.20;7257.20;225
2019.06.07;7257.30;7270.70;7256.00;7269.60;385
2019.06.07;7270.20;7271.20;7266.70;7268.50;224
2019.06.07;7268.10;7274.50;7265.60;7270.70;270
2019.06.07;7270.30;7273.60;7268.00;7270.50;456
2019.06.07;7270.80;7275.70;7267.10;7267.50;912
2019.06.07;7267.30;7272.70;7266.00;7271.50;652
2019.06.07;7271.80;7274.60;7271.10;7274.00;556
2019.06.07;7274.10;7277.60;7267.70;7268.70;670
2019.06.07;7268.80;7273.30;7267.60;7267.80;584
2019.06.07;7268.00;7268.10;7260.10;7263.10;636
2019.06.07;7262.80;7269.80;7259.20;7269.20;712
2019.06.07;7269.30;7273.70;7267.80;7272.80;546
2019.06.07;7273.00;7276.60;7272.00;7274.30;519
2019.06.07;7274.10;7275.30;7272.20;7273.10;368
